Wall time,Step,Value
1582821536.775201,222527,-63.45859146118164
1582821537.6694863,222978,-64.338623046875
1582821537.9330044,223118,-62.3760871887207
1582821538.4942675,223639,-63.79792785644531
1582821539.2993507,224817,-67.07498931884766
1582821540.503814,225631,-67.09126281738281
1582821541.3633945,226162,-64.08924102783203
1582821543.719001,227690,-68.46449279785156
1582821543.8334632,227800,-68.24636840820312
1582821544.3514304,228307,-68.80000305175781
1582821544.3604434,228318,-70.9483642578125
1582821544.8109941,229006,-75.03966522216797
1582821545.0021722,229281,-76.8349380493164
1582821545.0389447,229337,-78.30331420898438
1582821545.5097928,230054,-79.48921203613281
1582821546.2340114,230888,-80.83554077148438
1582821546.9665818,231690,-81.78546142578125
1582821547.3176405,232058,-82.05059051513672
1582821547.8337436,232596,-87.07669067382812
1582821548.1007526,232850,-86.54360961914062
1582821548.8458633,233584,-85.77558135986328
1582821549.235188,234067,-92.75126647949219
1582821549.4168324,234275,-94.79763793945312
1582821550.0893126,235244,-109.11932373046875
1582821550.1270514,235312,-114.49356079101562
1582821550.1531618,235368,-116.69147491455078
1582821550.2363133,235536,-118.23765563964844
1582821550.257414,235584,-120.32010650634766
1582821550.3499668,235772,-122.77604675292969
1582821550.392761,235863,-125.20680236816406
1582821550.463709,236012,-130.16781616210938
1582821550.545173,236202,-133.64903259277344
1582821550.5812511,236253,-137.94927978515625
1582821550.7499166,236619,-145.991455078125
1582821550.8186674,236745,-148.4694366455078
1582821550.9083512,236931,-149.83993530273438
1582821550.933308,236989,-151.86573791503906
1582821551.0646234,237257,-158.21017456054688
1582821551.5090346,238174,-165.28286743164062
1582821551.5119097,238181,-166.83192443847656
1582821551.7182589,238614,-172.5693359375
1582821552.1713188,239518,-182.58705139160156
1582821552.407347,239982,-182.7451171875
1582821552.9608998,240991,-184.26589965820312
1582821553.1214626,241302,-186.20823669433594
1582821553.1475923,241354,-188.2294464111328
1582821553.3138478,241691,-189.25755310058594
1582821553.362795,241777,-188.3118438720703
1582821553.4574735,241968,-189.6910858154297
1582821553.6268961,242253,-194.5980682373047
1582821553.7154558,242464,-195.86375427246094
1582821553.86305,242747,-196.4731903076172
1582821554.079575,243160,-196.0006561279297
1582821554.1510718,243302,-196.7692413330078
1582821554.6176882,244014,-198.09500122070312
1582821554.7999094,244369,-198.37986755371094
1582821555.8263872,245637,-196.2035675048828
1582821555.9190583,245740,-194.26876831054688
1582821556.5667834,246357,-193.4970703125
1582821557.409564,247030,-192.9239959716797
1582821558.731252,247942,-188.63088989257812
1582821559.085904,248394,-187.82229614257812
1582821559.1689916,248494,-187.81869506835938
1582821560.2927284,249648,-181.65289306640625
1582821560.297495,249656,-178.5082550048828
1582821561.0149567,250909,-164.792724609375
1582821561.7992637,251902,-154.74569702148438
1582821561.9690359,252124,-151.8447265625
1582821563.3798294,253410,-147.04205322265625
1582821564.3397858,254117,-144.3672637939453
1582821564.967277,254722,-140.94493103027344
1582821565.9980516,255610,-130.18014526367188
1582821566.2751856,255912,-125.3289566040039
1582821566.5418916,256369,-122.17160034179688
1582821566.567978,256397,-119.11674499511719
1582821566.662217,256592,-116.93670654296875
1582821566.7376084,256738,-114.8983154296875
1582821567.0739195,257353,-107.01636505126953
1582821567.876505,258737,-83.34737396240234
1582821568.0303106,259062,-79.90599822998047
1582821568.226195,259438,-75.08973693847656
1582821568.347515,259641,-71.08922576904297
1582821568.4641294,259880,-69.44216918945312
1582821568.4984007,259954,-67.20164489746094
1582821568.6578252,260253,-61.97383499145508
1582821568.8505406,260614,-56.37807846069336
1582821568.8746424,260664,-55.03679275512695
1582821568.8867369,260690,-52.71929931640625
